,date,CASH,GOOGL,AAPL,AMZN,BA,C,INTC,JPM,MSFT,NVDA,WFC
133,2016-05-31,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
134,2016-06-03,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
135,2016-06-08,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
136,2016-06-13,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
137,2016-06-16,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
138,2016-06-21,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
139,2016-06-24,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
140,2016-06-29,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
141,2016-07-05,0.0,0.0,0.30582967,0.30582967,0.08251092,0.0,0.0,0.0,0.0,0.30582967,0.0
142,2016-07-08,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
143,2016-07-13,0.0,0.0,0.27664053,0.27664053,0.17007838,0.0,0.0,0.0,0.0,0.27664053,0.0
144,2016-07-18,0.0,0.0,0.31518027,0.31518027,0.05445918,0.0,0.0,0.0,0.0,0.31518027,0.0
145,2016-07-21,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
146,2016-07-26,0.0,0.0,0.33235455,0.33235455,0.0029363632,0.0,0.0,0.0,0.0,0.33235455,0.0
147,2016-07-29,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
148,2016-08-03,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
149,2016-08-08,0.0,0.0,0.3283653,0.3283653,0.0149041135,0.0,0.0,0.0,0.0,0.3283653,0.0
150,2016-08-11,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
151,2016-08-16,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
152,2016-08-19,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
153,2016-08-24,0.0,0.0,0.3221855,0.3221855,0.033443563,0.0,0.0,0.0,0.0,0.3221855,0.0
154,2016-08-29,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
155,2016-09-01,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
156,2016-09-07,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
157,2016-09-12,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
158,2016-09-15,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
159,2016-09-20,0.0,0.0,0.26408258,0.26408258,0.20775226,0.0,0.0,0.0,0.0,0.26408258,0.0
160,2016-09-23,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
161,2016-09-28,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
162,2016-10-03,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
163,2016-10-06,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
164,2016-10-11,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
165,2016-10-14,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
166,2016-10-19,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
167,2016-10-24,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
168,2016-10-27,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
169,2016-11-01,0.0,0.0,0.32838026,0.33386663,0.0038864603,0.0,0.0,0.0,0.0,0.33386663,0.0
