,WMAMR
2018-07-31,1.828263299461511
2018-08-03,1.8772770510344454
2018-08-08,1.901251776043617
2018-08-13,1.848980421665213
2018-08-16,1.7915546369456532
2018-08-21,1.808645816436751
2018-08-24,1.8168262780065403
2018-08-29,1.855016189485156
2018-09-04,1.8249551899269079
2018-09-07,1.765028028405913
2018-09-12,1.7560499932245217
2018-09-17,1.7534664513315201
2018-09-20,1.7862970120473904
2018-09-25,1.7438502038875447
2018-09-28,1.6901486843968774
2018-10-03,1.6930427614623453
2018-10-08,1.7258425476326364
2018-10-11,1.5182447848447633
2018-10-16,1.592474553978282
2018-10-19,1.5066807268942117
2018-10-24,1.3080818469587727
2018-10-29,1.2176230094582372
2018-11-01,1.4307494622684156
2018-11-06,1.384503343531445
2018-11-09,1.3491462994487045
2018-11-14,1.2935191426475294
2018-11-19,1.2805422003471298
2018-11-23,1.2767943035402263
2018-11-28,1.409493076698128
2018-12-03,1.4987816541745536
2018-12-07,1.301077370338289
2018-12-12,1.3124477544675062
2018-12-17,1.2653256979692569
2018-12-20,1.2191440723276143
2018-12-26,1.1997855439123721
2018-12-31,1.2125888688827637
2019-01-04,1.2835042679257758
2019-01-09,1.320805302873168
2019-01-14,1.29228846992396
2019-01-17,1.3427738984988005
2019-01-23,1.3260602891600453
2019-01-28,1.3465650557835598
2019-01-31,1.3516518222043639
2019-02-05,1.4345518041738883
2019-02-08,1.4199890132207744
2019-02-13,1.4591842538466964
2019-02-19,1.459413774095768
2019-02-22,1.4530598652089042
2019-02-27,1.45713206232567
2019-03-04,1.4894640889328574
2019-03-07,1.482016768488193
2019-03-12,1.6062669635314453
2019-03-15,1.6135533953648822
2019-03-20,1.6015048401656298
2019-03-25,1.5772367669421357
2019-03-28,1.5941819103210844
2019-04-02,1.6636216880317756
2019-04-05,1.6749726238363272
2019-04-10,1.640978647005707
2019-04-15,1.605954695271115
2019-04-18,1.6337678926779915
2019-04-24,1.6303338679981578
2019-04-29,1.6377709602729793
2019-05-02,1.6120636470559124
2019-05-07,1.619623944936061
2019-05-10,1.4823023272675828
2019-05-15,1.463693162199161
2019-05-20,1.397599437465285
2019-05-23,1.3830324683782744
2019-05-29,1.3145055080157624
2019-06-03,1.2544914127074394
2019-06-06,1.348264150674324
2019-06-11,1.3955247257025212
2019-06-14,1.3996244431896225
2019-06-19,1.4230868041640015
2019-06-24,1.4387929320316413
2019-06-27,1.431598967371483
2019-07-02,1.4879216471295509
2019-07-08,1.4806978605653136
2019-07-11,1.4806978605653136
2019-07-16,1.4887612223721878
2019-07-19,1.5487220048912438
2019-07-24,1.6224016531742183
2019-07-29,1.6142896449083473
2019-08-01,1.5772979190495806
2019-08-06,1.5416469004046847
2019-08-09,1.5546262336389278
2019-08-14,1.4692448730146908
2019-08-19,1.6263137892835504
2019-08-22,1.608917248050933
2019-08-27,1.5502585091519439
2019-08-30,1.617890742339494
2019-09-05,1.6679231919684743
2019-09-10,1.659583576008632
2019-09-13,1.6664078953650676
2019-09-18,1.680970158719726
2019-09-23,1.6725653079261276
2019-09-26,1.6725653079261276
2019-10-01,1.6601745823519372
2019-10-04,1.7033116710206206
2019-10-09,1.6806974296867851
2019-10-14,1.6947911667383144
2019-10-17,1.7446169667858313
2019-10-22,1.5843400808564339
2019-10-25,1.5976447601390247
2019-10-30,1.626933926446232
2019-11-04,1.6505814151652305
2019-11-07,1.689626765606271
2019-11-12,1.7159658207036494
2019-11-15,1.7073859916001313
2019-11-20,1.7047774758633425
2019-11-25,1.7324266162264397
2019-11-29,1.7587571793341017
2019-12-04,1.7291259455014176
2019-12-09,1.733699959038404
2019-12-12,1.7062137529487995
2019-12-17,1.6111694143025506
2019-12-20,1.6160965087521435
2019-12-26,1.6255566692531838
2019-12-31,1.6050599321415169
2020-01-06,1.6443782184533502
2020-01-09,1.6571887547773934
2020-01-14,1.541105099761848
2020-01-17,1.537353607455548
2020-01-23,1.5073448174934898
2020-01-28,1.4807739030205913
2020-01-31,1.467331911157167
2020-02-05,1.510157923382724
2020-02-10,1.5040439279460416
2020-02-13,1.5128914476911854
2020-02-19,1.4945848159365533
2020-02-24,1.43739452621086
2020-02-27,1.3017905241768435
2020-03-03,1.308477257914125
2020-03-06,1.2272175076428324
2020-03-11,0.9468821808758757
2020-03-16,0.6466536833503912
2020-03-19,0.4874973421078067
2020-03-24,0.6370244741818696
2020-03-27,0.8082547350470168
2020-04-01,0.669018911811081
2020-04-06,0.712117824769779
2020-04-09,0.8083936868601002
2020-04-15,0.8047520650633625
2020-04-20,0.8047520650633625
2020-04-23,0.7677931119716651
2020-04-28,0.7639541464118068
2020-05-01,0.772178389272049
2020-05-06,0.7095074899651943
2020-05-11,0.7486287913333878
2020-05-14,0.711519621405685
2020-05-19,0.7575140686923802
2020-05-22,0.7606847587913774
2020-05-28,0.8566753207131227
2020-06-02,0.8618121002922232
2020-06-05,0.8691087701877442
2020-06-10,0.8952118965010203
2020-06-15,0.8887175087982507
2020-06-18,0.8871122497360939
2020-06-23,0.8837390668253521
2020-06-26,0.8467950767667195
2020-07-01,0.8435807140536584
2020-07-07,0.8214265862456495
2020-07-10,0.8553447916444407
2020-07-15,0.8513150745885304
2020-07-20,0.8251205945637611
2020-07-23,0.8848973573314656
2020-07-28,0.8523386976879836
2020-07-31,0.8219389781570522
2020-08-05,0.8424314179626031
2020-08-10,0.8533539740079218
2020-08-13,0.8419111593914156
2020-08-18,0.8434716403409143
2020-08-21,0.8306890366382143
2020-08-26,0.8439471823033428
2020-08-31,0.8469439443940727
2020-09-03,0.8423233935106689
2020-09-09,0.8005541023968411
2020-09-14,0.8233090354678945
2020-09-17,0.7833653542657854
2020-09-22,0.7938017082088337
2020-09-25,0.766861274550353
2020-09-30,0.7867126836124476
2020-10-05,0.8195610660419378
2020-10-08,0.8160935313313038
2020-10-13,0.797114627355889
2020-10-16,0.7931290542191095
2020-10-21,0.7836122035776771
2020-10-26,0.7836122035776771
2020-10-29,0.735917858016174
2020-11-03,0.7482636926710771
2020-11-06,0.7627811336951096
2020-11-11,0.7789138771447683
2020-11-16,0.7762251811190403
2020-11-19,0.7672370687813709
2020-11-24,0.7674774345645115
2020-11-30,0.7764255711850263
2020-12-03,0.777193585787415
2020-12-08,0.7757293204391826
2020-12-11,0.7565259751011094
2020-12-16,0.7692638010977875
2020-12-21,0.7837773581707136
2020-12-24,0.7918618037023027
2020-12-30,0.8024135798351223
2021-01-05,0.7817907071867951
2021-01-08,0.7753998057019547
2021-01-13,0.7654626184728269
2021-01-19,0.7783921058423942
2021-01-22,0.7632252748264584
2021-01-27,0.7192906712472216
2021-02-01,0.7260005324391378
2021-02-04,0.7797044602784217
2021-02-09,0.7868154703229072
2021-02-12,0.7917120707975545
2021-02-18,0.7546510225295173
2021-02-23,0.7322516356059704
2021-02-26,0.705488939767291
2021-03-03,0.7101432387935158
2021-03-08,0.6769808023874625
2021-03-11,0.7458448303202221
2021-03-16,0.7621855019961102
2021-03-19,0.7366382823637118
2021-03-24,0.7250116447118632
2021-03-29,0.7312564030580785
2021-04-01,0.7397507172453137
2021-04-07,0.7484255404876091
2021-04-12,0.7406927060401708
2021-04-15,0.7433279824172956
2021-04-20,0.738880960561072
2021-04-23,0.7488239615287705
2021-04-28,0.7290899441479195
2021-05-03,0.7234357127548617
2021-05-06,0.727001618278409
2021-05-11,0.6996707459118423
2021-05-14,0.703611454903329
2021-05-19,0.7003524224563821
2021-05-24,0.7747878264870103
2021-05-27,0.7653475750148439
2021-06-02,0.7611910399683249
2021-06-07,0.7663038510926696
2021-06-10,0.7675820420263684
2021-06-15,0.7721087572257767
2021-06-18,0.7141296889410097
2021-06-23,0.7343018263754948
2021-06-28,0.7539111972149557
2021-07-01,0.7486399417677371
2021-07-07,0.7161683384112251
2021-07-12,0.7320878165220863
2021-07-15,0.7284273774394758
2021-07-20,0.7064404832672947
2021-07-23,0.7206571644952925
2021-07-28,0.7533522103726873
2021-08-02,0.758244672170201
2021-08-05,0.7645838965878443
2021-08-10,0.7520574435348317
2021-08-13,0.7460082670254584
2021-08-18,0.7250025442753439
2021-08-23,0.7396442704230788
2021-08-26,0.742489271700765
2021-08-31,0.7503138180143241
2021-09-03,0.7380168810627503
2021-09-09,0.7386549561289936
2021-09-14,0.7667958494977617
2021-09-17,0.7694493655233252
2021-09-22,0.7757024507501536
2021-09-27,0.8175204617280732
2021-09-30,0.7911055707746707
2021-10-05,0.7887674572531966
2021-10-08,0.7994798332909852
2021-10-13,0.802764307010983
2021-10-18,0.8515787639017925
2021-10-21,0.8369596964201674
2021-10-26,0.8192708540767757
2021-10-29,0.8206770469014106
2021-11-03,0.8443491861665215
2021-11-08,0.8768039723299247
2021-11-11,0.8647085992225051
2021-11-16,0.8644610856500253
2021-11-19,0.839447972639111
2021-11-24,0.8645827656253267
2021-11-30,0.8203874486013781
2021-12-03,0.818939276585477
2021-12-08,0.8706773628665316
2021-12-13,0.8251927360233869
2021-12-16,0.8276891579623411
