,UCRP
2017-10-06,2.7147500092416177
2017-10-11,2.7359734712733834
2017-10-16,2.743808492946752
2017-10-19,2.7365820073964016
2017-10-24,2.7710941770262396
2017-10-27,2.86811635379255
2017-11-01,2.9004119436333227
2017-11-06,2.9352060233428845
2017-11-09,2.905683398664429
2017-11-14,2.9035295547668705
2017-11-17,2.885105404561285
2017-11-22,2.920007177747512
2017-11-28,2.9555746820495012
2017-12-01,2.9372473270066615
2017-12-06,2.927451622550588
2017-12-11,2.9719143934887886
2017-12-14,2.9596382926784837
2017-12-19,3.035661222877351
2017-12-22,3.033468459262138
2017-12-28,3.0278321774457124
2018-01-03,3.0652187020525044
2018-01-08,3.1208755705566955
2018-01-11,3.156228672710079
2018-01-17,3.2310802154441007
2018-01-22,3.271277886445509
2018-01-25,3.297935384257998
2018-01-30,3.326482174594328
2018-02-02,3.260051974275517
2018-02-07,3.1709299658344774
2018-02-12,3.1536574536217294
2018-02-15,3.300638482730412
2018-02-21,3.2910628447833004
2018-02-26,3.392366666713036
2018-03-01,3.2586564340966397
2018-03-06,3.320085903405254
2018-03-09,3.408214263193986
2018-03-14,3.3439921259836676
2018-03-19,3.283594545966979
2018-03-22,3.1942065749626134
2018-03-27,3.1271655926149617
2018-04-02,3.0754693652289347
2018-04-05,3.182878208084037
2018-04-10,3.1959397833705707
2018-04-13,3.1868374841220612
2018-04-18,3.2513631697004803
2018-04-23,3.208881297171812
2018-04-26,3.2070086606991226
2018-05-01,3.216369186678877
2018-05-04,3.268390895098314
2018-05-09,3.3830843019910515
2018-05-14,3.407484007752877
2018-05-17,3.367724453359387
2018-05-22,3.3766349341364714
2018-05-25,3.3895406396991916
2018-05-31,3.3666287636852985
2018-06-05,3.4579605161941647
2018-06-08,3.4682091485113298
2018-06-13,3.4533602765624223
2018-06-18,3.440129014522415
2018-06-21,3.396545105930488
2018-06-26,3.305607916414307
2018-06-29,3.316770854870954
2018-07-05,3.3346977569276053
2018-07-10,3.4312001147463684
2018-07-13,3.4527736893320693
2018-07-18,3.5063512706944002
2018-07-23,3.520040067269119
2018-07-26,3.5777915512221248
2018-07-31,3.4886026060332704
2018-08-03,3.573666059576311
2018-08-08,3.61576079299011
2018-08-13,3.5540212449020188
2018-08-16,3.5638678735416627
2018-08-21,3.5764685652401327
2018-08-24,3.61231946231813
2018-08-29,3.6935461626419355
2018-09-04,3.6814849438133392
2018-09-07,3.588172028719618
2018-09-12,3.583585855933498
2018-09-17,3.5692842311114004
2018-09-20,3.6521775390239397
2018-09-25,3.6357298213307403
2018-09-28,3.6520066767655726
2018-10-03,3.7065055937753635
2018-10-08,3.610869422665963
2018-10-11,3.383588689716454
2018-10-16,3.506030551963205
2018-10-19,3.4126242578748283
2018-10-24,3.2366542725654153
2018-10-29,3.209579738707395
2018-11-01,3.403666190174686
2018-11-06,3.367227878060745
2018-11-09,3.3935546197154904
2018-11-14,3.248486347617041
2018-11-19,3.140637674493343
2018-11-23,3.05937095158259
2018-11-28,3.266547509424113
2018-12-03,3.358203661942498
2018-12-07,3.0672832502023097
2018-12-12,3.0771023229599255
2018-12-17,2.9612202341598577
2018-12-20,2.8798499419371275
2018-12-26,2.878289115083615
2018-12-31,2.912310212231045
2019-01-04,2.9716485234373975
2019-01-09,3.044342707719328
2019-01-14,3.059007245006107
2019-01-17,3.151687687807028
2019-01-23,3.129606704360222
2019-01-28,3.1104452556046893
2019-01-31,3.191154404792425
2019-02-05,3.266460391583765
2019-02-08,3.1882319296309167
2019-02-13,3.2542878233814863
2019-02-19,3.2911226291349616
2019-02-22,3.317146032176972
2019-02-27,3.3416761099224614
2019-03-04,3.3645734777393788
2019-03-07,3.28882190677969
2019-03-12,3.343823943281181
2019-03-15,3.416316362761166
2019-03-20,3.442582372521309
2019-03-25,3.362725827721358
2019-03-28,3.387975143708611
2019-04-02,3.4771917047500063
2019-04-05,3.528173284590111
2019-04-10,3.507501416325143
2019-04-15,3.5305367794242195
2019-04-18,3.6035359313579995
2019-04-24,3.628875937456699
2019-04-29,3.615349741151117
2019-05-02,3.565240867362435
2019-05-07,3.500328137383269
2019-05-10,3.4480478404279897
2019-05-15,3.3677502001045028
2019-05-20,3.3219244942489423
2019-05-23,3.290736854401504
2019-05-29,3.254313236102066
2019-06-03,3.1396889488243143
2019-06-06,3.2831779358514095
2019-06-11,3.3796681776367863
2019-06-14,3.3494805557565517
2019-06-19,3.4270650643961886
2019-06-24,3.4460824599139834
2019-06-27,3.442798752621416
2019-07-02,3.4985627673922157
2019-07-08,3.488551053373936
2019-07-11,3.5493272961924838
2019-07-16,3.5526117230295418
2019-07-19,3.5572381578796564
2019-07-24,3.6523986125822105
2019-07-29,3.628669059594575
2019-08-01,3.5158325508973483
2019-08-06,3.4017019264095216
2019-08-09,3.4267443454308566
2019-08-14,3.321816613616125
2019-08-19,3.47266083348808
2019-08-22,3.4899890054162865
2019-08-27,3.4014492192168237
2019-08-30,3.4980987139901565
2019-09-05,3.5986701679465085
2019-09-10,3.650594337226964
2019-09-13,3.7066929166041183
2019-09-18,3.703949156304831
2019-09-23,3.661912811106623
2019-09-26,3.664032394068463
2019-10-01,3.6260295199943338
2019-10-04,3.654647152471966
2019-10-09,3.6239841937671855
2019-10-14,3.703253298914232
2019-10-17,3.7486058587736433
2019-10-22,3.7447427778381215
2019-10-25,3.8416399752650747
2019-10-30,3.8564373829621323
2019-11-04,3.9486319862958377
2019-11-07,3.9846166084623604
2019-11-12,3.9957570473568826
2019-11-15,4.004080636848268
2019-11-20,4.00055382984342
2019-11-25,4.065266061725694
2019-11-29,4.051585222946857
2019-12-04,3.9755038639251423
2019-12-09,4.020690834677137
2019-12-12,4.08403861287746
2019-12-17,4.0973664480570156
2019-12-20,4.127537558920518
2019-12-26,4.195493413194885
2019-12-31,4.173217184928399
2020-01-06,4.221357868744333
2020-01-09,4.2568598120109415
2020-01-14,4.246788545855041
2020-01-17,4.268498688544553
2020-01-23,4.278075187774981
2020-01-28,4.244792245362175
2020-01-31,4.214349979983723
2020-02-05,4.381747885389381
2020-02-10,4.478912137512835
2020-02-13,4.503516628201156
2020-02-19,4.567945393908886
2020-02-24,4.245490375107206
2020-02-27,3.8900587940761477
2020-03-03,3.9233273219424105
2020-03-06,3.7891410494303486
2020-03-11,3.3940171274510584
2020-03-16,2.87487811434582
2020-03-19,2.8966514497741893
2020-03-24,3.12732670797738
2020-03-27,3.2555665504017317
2020-04-01,3.0685367884281862
2020-04-06,3.338786660236882
2020-04-09,3.5062751250982864
2020-04-15,3.497965904799172
2020-04-20,3.516114711342532
2020-04-23,3.4550754333597076
2020-04-28,3.516396654089088
2020-05-01,3.5144442472194797
2020-05-06,3.506333927266851
2020-05-11,3.6141759786143757
2020-05-14,3.518008075717385
2020-05-19,3.628223849014058
2020-05-22,3.6884345525648796
2020-05-28,3.818511454279038
2020-06-02,3.8879973282776845
2020-06-05,4.224257334202641
2020-06-10,4.254190793862183
2020-06-15,4.077346048759739
2020-06-18,4.106592289379352
2020-06-23,4.151210710982615
2020-06-26,3.9383313018102855
2020-07-01,4.070807305046988
2020-07-07,4.11520060922123
2020-07-10,4.265400866300071
2020-07-15,4.24604987446848
2020-07-20,4.254615088968807
2020-07-23,4.210339734269563
2020-07-28,4.094699419861768
2020-07-31,4.119104007217615
2020-08-05,4.244197560951478
2020-08-10,4.293735746024754
2020-08-13,4.317538194066649
2020-08-18,4.322808684918559
2020-08-21,4.354518968231747
2020-08-26,4.464093783989155
2020-08-31,4.521697897995012
2020-09-03,4.456018941184919
2020-09-09,4.3412666748124265
2020-09-14,4.302000750813537
2020-09-17,4.223778095318728
2020-09-22,4.159735813710374
2020-09-25,4.141269228777145
2020-09-30,4.255757760075841
2020-10-05,4.3392467606017195
2020-10-08,4.370286678236443
2020-10-13,4.455530096733112
2020-10-16,4.386915153726109
2020-10-21,4.324637865346069
2020-10-26,4.246425746590052
2020-10-29,4.1069198072983175
2020-11-03,4.185523131485396
2020-11-06,4.375042348694238
2020-11-11,4.539495699363329
2020-11-16,4.638357589478776
2020-11-19,4.64831425926059
2020-11-24,4.7842742513877345
2020-11-30,4.759610940153641
2020-12-03,4.940199979379168
2020-12-08,4.9544343496554974
2020-12-11,4.88306110833388
2020-12-16,4.966638706281886
2020-12-21,4.929035515643447
2020-12-24,4.931790139468307
2020-12-30,4.980480099093208
2021-01-05,4.994546826648642
2021-01-08,5.129106141977953
2021-01-13,5.192770580758985
2021-01-19,5.131865697969515
2021-01-22,5.21570072680805
2021-01-27,5.056427993446772
2021-02-01,5.1268149358164425
2021-02-04,5.379628600770595
2021-02-09,5.436184969248369
2021-02-12,5.496335385464433
2021-02-18,5.541674236902326
2021-02-23,5.496542505749122
2021-02-26,5.3923448597758865
2021-03-03,5.4454829210369216
2021-03-08,5.374094997153895
2021-03-11,5.656232506079148
2021-03-16,5.702851440204142
2021-03-19,5.621881904233115
2021-03-24,5.517512622933594
2021-03-29,5.609444542322645
2021-04-01,5.748921180124077
2021-04-07,5.8782983276291505
2021-04-12,5.972008487632513
2021-04-15,6.048215626612897
2021-04-20,5.9001948783089215
2021-04-23,5.935731412897591
2021-04-28,5.967682691087296
2021-05-03,5.922341353154667
2021-05-06,5.936051242006997
2021-05-11,5.826566265142225
2021-05-14,5.888769907623973
2021-05-19,5.826355416633245
2021-05-24,6.017523800731238
2021-05-27,6.055058951083742
2021-06-02,6.12678107139727
2021-06-07,6.165838490569372
2021-06-10,6.133755548741711
2021-06-15,6.133150166144059
2021-06-18,6.00309537939363
2021-06-23,6.131608128269733
2021-06-28,6.236270301465682
2021-07-01,6.243860756357082
2021-07-07,6.283139326758639
2021-07-12,6.356316267467803
2021-07-15,6.260543229114218
2021-07-20,6.153610533954712
2021-07-23,6.25697223522302
2021-07-28,6.301913792022622
2021-08-02,6.244511992047827
