Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
65	1.260949	0.16796662	1.5513821	1.0134407	500.0	0.10752395	0.12473317	0.57646316	-0.116228245	330000	4.247278e-08	0.0071590333	-0.008734866	-0.0018572784	0.80062985	0.016801657	0.138	4.0	351.8211793899536
66	1.2251133	0.28330788	1.5319729	0.560431	500.0	0.14232793	0.11304783	0.5463365	-0.08252897	335000	2.719164e-08	0.006476945	-0.012025724	-0.00036126887	0.80009	0.016596174	0.1794	12.0	356.66819620132446
67	1.237519	0.10987872	1.355532	0.99672365	500.0	0.13310683	0.111990586	0.55184406	-0.06752516	340000	3.38912e-08	0.0038087573	-0.016338713	-0.00014819973	0.7980238	0.016727548	0.1988	27.0	361.82435154914856
68	1.3049626	0.19624364	1.7161639	0.9976082	500.0	0.12881006	0.1185198	0.5765514	-0.06839069	345000	1.8155575e-08	0.0049204845	-0.010813104	-0.0002674749	0.7960712	0.015348298	0.196	13.0	366.6757655143738
69	1.3436791	0.13749522	1.5441192	1.1403825	500.0	0.13448907	0.12588273	0.60940945	-0.052808292	350000	-2.6926399e-08	0.0043451567	-0.020246413	-0.00025700126	0.7956889	0.016205577	0.191	29.0	371.84750270843506
70	1.2807344	0.14592308	1.4436882	0.95187926	500.0	0.13806741	0.13698521	0.64368993	-0.0917311	355000	4.3851138e-08	0.0041051027	-0.0036505638	-0.0002942183	0.7896778	0.016350957	0.1798	3.0	376.66661763191223
71	1.2053647	0.1467091	1.428899	0.9450432	500.0	0.13402095	0.1259751	0.60818005	-0.06631343	360000	1.667738e-08	0.0043072803	-0.008661586	-0.00031688297	0.78922904	0.016112398	0.1924	10.0	382.2795114517212
72	1.134386	0.22145315	1.5577319	0.78856146	500.0	0.12286184	0.120191194	0.5790375	-0.07474243	365000	1.3226271e-08	0.0045731184	-0.0030461058	-0.00034359656	0.78779924	0.018878387	0.171	2.0	386.95785665512085
73	1.3986104	0.10858059	1.6163583	1.264928	500.0	0.11194329	0.117808454	0.55835956	-0.11376404	370000	3.2337756e-08	0.0062781065	0.010560252	-0.00244978	0.78749204	0.020520793	0.2718	1.0	391.55872225761414
74	1.276788	0.19061714	1.6290394	0.8595273	500.0	0.15284567	0.1327032	0.6238379	-0.053180054	375000	-3.437996e-08	0.005260038	0.016400117	-0.0014644605	0.78732866	0.0309657	0.3064	1.0	396.21152925491333
75	1.3952761	0.101545915	1.5459697	1.2013568	500.0	0.12225237	0.1324812	0.6339105	-0.10764694	380000	-2.5993586e-08	0.004753899	0.011900253	-0.0008682546	0.7871762	0.016718874	0.216	1.0	400.827739238739
